Username,Isi komentar,Jumlah like komentar,Waktu komentar
@ari.duel.room7,up,0,1 bulan yang lalu
@kopigathel6548,Lapor mas Wapres aja,0,1 bulan yang lalu
@pidarta,"Untuk atasi ini sebenarnya udah ada program Sekolah Rakyat (udah ada 166 sekolah tersebar di seluruh Indonesia) —khusus menyekolahkan anak² golongan paling miskin secara asrama. Tinggal kita mendorong agar pendataan mensos dan pemdanya presisi, agar anak² seperti ini terdata dan bisa langaung 'diselamatkan' di Sekolah Rakyat.",0,1 bulan yang lalu
@HeriYanto-y4c,Up,0,1 bulan yang lalu
@isaalaihisalam9500,"RAKYAT YANG JUMLAH Y 200 JT JIWA LEBIH HARUS BERSATU MELAWAN OKNUM2 PEJABAT PARPOL, APARAT SERTA OLIGARKI SIPIT, MEREKA PENJAJAH BANGSA INI YANG SEPERTI BINATANG TIDAK PUNYA AKAL DAN PIKIRAN DAN MALING UANG RAKYAT Y HINGGA RIBUAN TRILYUN DAN MALING KEKAYAAN ALAM NEGERI INI SENILAI 2000 AN TRILYUN TIAP TAHUN Y YANG BISA DIPAKAI UNTUK MENSEJAHTERAKAN RAKYAT Y LEWAT BLT 20 JT /BULAN /KK (UUD 1945 PASAL 33 AYAT 3), MERDEKAAA",0,1 bulan yang lalu
@KONTEN_GAME_MOBILE_LEGENDS,Iya serius miriss bener negara ini 😢,0,1 bulan yang lalu
@RahmatAdnan-r9b3f,Up,0,1 bulan yang lalu
@dwipurnomo8904,"Jangan dikit"" menyalahkan pemerintah , terus apa tugasnya sebagai orang tua , kalau hanya membeli buku tak mampu , pesan peting siapkan tidak hanya mental tapi keuangan , tidak hanya mencukupi nafkah batin lahir juga harus di penuhi",0,1 bulan yang lalu
@ogamingchannel8673,​ @dwipurnomo8904 ngomong enak ya ortu kmna..pemerintah kmna..knp smpe bnyak pengangguran??konteksnya pahamin lah,0,1 bulan yang lalu
@putrapadjajaran2487,😢😢😢,0,1 bulan yang lalu
@mastekno-2,Up,0,1 bulan yang lalu
@costanlianberdellia,Itu yg 😊😊😊,0,1 bulan yang lalu
@Arisin,pin nih pin,0,1 bulan yang lalu
@ibelived_orbs,Up up,0,1 bulan yang lalu
@enhindra6156,Up,0,1 bulan yang lalu
@raphaellafrans3817,"Orng tuanya lebih pilih beli rokok drpd anakny, lu buat ank tapi y harus tanggung jwb, buatnya ngotot giliran ngurus pemerintah 😂😂😂 pe.a",0,1 bulan yang lalu
@anjararisman2452,gak mungkin omded kolener tritular bagian pemda konoha 😁,0,1 bulan yang lalu
@kaniapermata,Susah NTT… ngarep sama Victor? Susah. Percaya dah. Kudu kenal dia siapa,0,1 bulan yang lalu
@deesetyo,Mmg pak ded berani?? Die khan kolonelnya pak pribiwi,0,1 bulan yang lalu
@bersepedasantai3331,Up,0,1 bulan yang lalu
@rezhapramadita1807,up,0,1 bulan yang lalu
@OnetubeLife,Up,0,1 bulan yang lalu
@Simkad200,Gak bakalan di bahas keknya,0,1 bulan yang lalu
@frengkysetiawan22,up,0,1 bulan yang lalu
@GloriousMaj,GAS,0,1 bulan yang lalu
@afrizalmenyon1525,Orang sekelas om ded gak mungkin klo gatau berita ini apalagi viral. Mungkin ada pertimbangan kenapa gk bikin vidio ini. Tapi yang penting semoga dibalik layar om ded mengusahakan biar pendidikan sekolah gratis atau setidaknya ada bantuan yang benar-benar bisa tersalurkan ke orang yg membutuhkan,0,1 bulan yang lalu
@EkaKurniawati-x4j,Up,0,1 bulan yang lalu
@prastowodiank1510,Up,0,1 bulan yang lalu
