User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
Susan Bawairi,"Tugu Jogja tuh emang vibes-nya beda sih, bener-bener ikonik banget! Tempat ini wajib banget dikunjungin kalo lagi main ke Jogja. Apalagi malem-malem, lampu-lampunya cakep, suasananya romantis, cocok buat nongki sambil foto-foto aesthetic. Ada street fotografer juga dengan hanya cukup merogoh kantong yang bersahabat, dia itungnya per file ya.

Rame sih emang, tapi justru itu serunya. Banyak yang hunting foto, ada juga yang sekadar duduk santai sambil nikmatin angin malam. Sekarang tempatnya juga udah lebih rapi, makin nyaman buat chill. Pokoknya, ke Jogja ga lengkap kalo belum mampir ke sini!",10 bulan lalu,Google Maps (Tugu Jogja),"tugu jogja tuh emang vibes-nya beda sih, bener-bener ikonik banget! tempat ini wajib banget dikunjungin kalo lagi main ke jogja. apalagi malem-malem, lampu-lampunya cakep, suasananya romantis, cocok buat nongki sambil foto-foto aesthetic. ada street fotografer juga dengan hanya cukup merogoh kantong yang bersahabat, dia itungnya per file ya.

rame sih emang, tapi justru itu serunya. banyak yang hunting foto, ada juga yang sekadar duduk santai sambil nikmatin angin malam. sekarang tempatnya juga udah lebih rapi, makin nyaman buat chill. pokoknya, ke jogja ga lengkap kalo belum mampir ke sini!",tugu jogja tuh emang vibes nya beda sih bener bener ikonik banget tempat ini wajib banget dikunjungin kalo lagi main ke jogja apalagi malem malem lampu lampunya cakep suasananya romantis cocok buat nongki sambil foto foto aesthetic ada street fotografer juga dengan hanya cukup merogoh kantong yang bersahabat dia itungnya per file ya rame sih emang tapi justru itu serunya banyak yang hunting foto ada juga yang sekadar duduk santai sambil nikmatin angin malam sekarang tempatnya juga udah lebih rapi makin nyaman buat chill pokoknya ke jogja ga lengkap kalo belum mampir ke sini,tugu jogja emang vibes beda bener bener ikonik tempat wajib dikunjungin main jogja apalagi malem malem lampu lampunya cakep suasananya romantis cocok nongki sambil foto foto aesthetic street fotografer cukup merogoh kantong bersahabat itungnya per file rame emang justru serunya hunting foto sekadar duduk santai sambil nikmatin angin malam sekarang tempatnya rapi makin nyaman chill pokoknya jogja lengkap belum mampir sini
Ataperanina,"Tugu Jogja merupakan bagian dari jantungnya Jogja, belum lengkap rasanya jika tidak mampir kesini. Disini banyak sekali tempat untuk nongkrong dan suasananya sangat ramai sekali. Seistimewa itu kota ini 😌",5 bulan lalu,Google Maps (Tugu Jogja),"tugu jogja merupakan bagian dari jantungnya jogja, belum lengkap rasanya jika tidak mampir kesini. disini banyak sekali tempat untuk nongkrong dan suasananya sangat ramai sekali. seistimewa itu kota ini 😌",tugu jogja merupakan bagian dari jantungnya jogja belum lengkap rasanya jika tidak mampir kesini disini banyak sekali tempat untuk nongkrong dan suasananya sangat ramai sekali seistimewa itu kota ini,tugu jogja merupakan bagian jantungnya jogja belum lengkap rasanya jika mampir kesini disini sekali tempat nongkrong suasananya ramai sekali seistimewa kota
Shanty Dhyzayra,"Si anak kecil ngotot pengen liat icon ini...
Katanya monasnya jogja..
seneng aj. Liatnya tpi masih aj ada orang yg mengabaikan kendaraan2 untuk hny sekedar dpt foto yg bagus..apalagi tdk memperhatikan bawa anak.
mgk perlu penjagaan extra..soalenya dipos tidak ada yg jaga..",setahun lalu,Google Maps (Tugu Jogja),"si anak kecil ngotot pengen liat icon ini...
katanya monasnya jogja..
seneng aj. liatnya tpi masih aj ada orang yg mengabaikan kendaraan2 untuk hny sekedar dpt foto yg bagus..apalagi tdk memperhatikan bawa anak.
mgk perlu penjagaan extra..soalenya dipos tidak ada yg jaga..",si anak kecil ngotot pengen liat icon ini katanya monasnya jogja seneng aj liatnya tpi masih aj ada orang yg mengabaikan kendaraan untuk hny sekedar dpt foto yg bagus apalagi tdk memperhatikan bawa anak mgk perlu penjagaan extra soalenya dipos tidak ada yg jaga,anak kecil ngotot pengen liat icon katanya monasnya jogja seneng liatnya tpi masih orang mengabaikan kendaraan hny sekedar dpt foto bagus apalagi tdk memperhatikan bawa anak mgk perlu penjagaan extra soalenya dipos jaga
Andi Insan,"Tugu Yogyakarta
Nah,  Jogja, kalo mau bisa  mampir ke Tugu Yogyakarta. Ini ibarat icon-nya kota. Posisinya  di tengah persimpangan ramai.
Biasanya sih suka ada  orang pada foto-foto di sini, apalagi pas malam. Suasananya hidup,",7 bulan lalu,Google Maps (Tugu Jogja),"tugu yogyakarta
nah,  jogja, kalo mau bisa  mampir ke tugu yogyakarta. ini ibarat icon-nya kota. posisinya  di tengah persimpangan ramai.
biasanya sih suka ada  orang pada foto-foto di sini, apalagi pas malam. suasananya hidup,",tugu yogyakarta nah jogja kalo mau bisa mampir ke tugu yogyakarta ini ibarat icon nya kota posisinya di tengah persimpangan ramai biasanya sih suka ada orang pada foto foto di sini apalagi pas malam suasananya hidup,tugu yogyakarta nah jogja mau mampir tugu yogyakarta ibarat icon kota posisinya tengah persimpangan ramai biasanya suka orang foto foto sini apalagi pas malam suasananya hidup
Calvin Christian (Kevin),"Kalo ke Jogja malam-malam terus nightride ke tugu dan sekitarnya, nongkrong sambil nikmatin view Jogja sih itu healing yg menenangkan pikiran sih",8 bulan lalu,Google Maps (Tugu Jogja),"kalo ke jogja malam-malam terus nightride ke tugu dan sekitarnya, nongkrong sambil nikmatin view jogja sih itu healing yg menenangkan pikiran sih",kalo ke jogja malam malam terus nightride ke tugu dan sekitarnya nongkrong sambil nikmatin view jogja sih itu healing yg menenangkan pikiran sih,jogja malam malam nightride tugu sekitarnya nongkrong sambil nikmatin view jogja healing menenangkan pikiran
Cintawati,"Orang Jogja kurang afdol kalo blm pernah foto sm tugu hehehe
Jika berkunjung ke Jogja jangan lewatkan menikmati kawasan tugu Jogja 😍♥️
Berfoto di area tugu Jogja, makan di angkringan2 yg berjajar di sepanjang jalan p.mangkubumi, ada juga monumen di pojok perempatan ini.",7 bulan lalu,Google Maps (Tugu Jogja),"orang jogja kurang afdol kalo blm pernah foto sm tugu hehehe
jika berkunjung ke jogja jangan lewatkan menikmati kawasan tugu jogja 😍♥️
berfoto di area tugu jogja, makan di angkringan2 yg berjajar di sepanjang jalan p.mangkubumi, ada juga monumen di pojok perempatan ini.",orang jogja kurang afdol kalo blm pernah foto sm tugu hehehe jika berkunjung ke jogja jangan lewatkan menikmati kawasan tugu jogja berfoto di area tugu jogja makan di angkringan yg berjajar di sepanjang jalan p mangkubumi ada juga monumen di pojok perempatan ini,orang jogja kurang afdol blm pernah foto tugu hehehe jika berkunjung jogja lewatkan menikmati kawasan tugu jogja berfoto area tugu jogja makan angkringan berjajar sepanjang jalan mangkubumi monumen pojok perempatan
mardia ningsih,"kawasan Tugu kini telah direvitalisasi menjadi lebih ramah pejalan kaki dengan kabel-kabel yang sudah tertanam di bawah tanah, sehingga pandangan tidak akan terganggu saat berburu foto dari berbagai sudut.

Meskipun sering kali ramai oleh wisatawan yang mengincar pose terbaik di tengah jalan, tertibnya suasana dan keramahan warga lokal tetap membuat momen berkunjung ke sini terasa istimewa.

Tugu Jogja adalah tempat di mana sejarah, mitos, dan gaya hidup modern bertemu, menjadikannya titik yang selalu berhasil membuat siapa pun merasa pulang setiap kali menginjakkan kaki di Yogyakarta.",sebulan lalu,Google Maps (Tugu Jogja),"kawasan tugu kini telah direvitalisasi menjadi lebih ramah pejalan kaki dengan kabel-kabel yang sudah tertanam di bawah tanah, sehingga pandangan tidak akan terganggu saat berburu foto dari berbagai sudut.

meskipun sering kali ramai oleh wisatawan yang mengincar pose terbaik di tengah jalan, tertibnya suasana dan keramahan warga lokal tetap membuat momen berkunjung ke sini terasa istimewa.

tugu jogja adalah tempat di mana sejarah, mitos, dan gaya hidup modern bertemu, menjadikannya titik yang selalu berhasil membuat siapa pun merasa pulang setiap kali menginjakkan kaki di yogyakarta.",kawasan tugu kini telah direvitalisasi menjadi lebih ramah pejalan kaki dengan kabel kabel yang sudah tertanam di bawah tanah sehingga pandangan tidak akan terganggu saat berburu foto dari berbagai sudut meskipun sering kali ramai oleh wisatawan yang mengincar pose terbaik di tengah jalan tertibnya suasana dan keramahan warga lokal tetap membuat momen berkunjung ke sini terasa istimewa tugu jogja adalah tempat di mana sejarah mitos dan gaya hidup modern bertemu menjadikannya titik yang selalu berhasil membuat siapa pun merasa pulang setiap kali menginjakkan kaki di yogyakarta,kawasan tugu kini telah direvitalisasi menjadi ramah pejalan kaki kabel kabel tertanam bawah tanah sehingga pandangan terganggu berburu foto berbagai sudut meskipun sering kali ramai oleh wisatawan mengincar pose terbaik tengah jalan tertibnya suasana keramahan warga lokal tetap membuat momen berkunjung sini terasa istimewa tugu jogja adalah tempat mana sejarah mitos gaya hidup modern bertemu menjadikannya titik selalu berhasil membuat siapa pun merasa pulang setiap kali menginjakkan kaki yogyakarta
Rahma Luthfi,"Salah satu tempat ikonik di Jogja yang jadi tujuan wisatawan buat foto-foto, ada yang bilang kalau udah foto disini tandanya udah resmi main ke Jogja katanya ☺️
Paling the best viewnya kalo pagi (keliatan gunung merapi) sama malam (siluetnya cakep)",Diedit 10 bulan lalu,Google Maps (Tugu Jogja),"salah satu tempat ikonik di jogja yang jadi tujuan wisatawan buat foto-foto, ada yang bilang kalau udah foto disini tandanya udah resmi main ke jogja katanya ☺️
paling the best viewnya kalo pagi (keliatan gunung merapi) sama malam (siluetnya cakep)",salah satu tempat ikonik di jogja yang jadi tujuan wisatawan buat foto foto ada yang bilang kalau udah foto disini tandanya udah resmi main ke jogja katanya paling the best viewnya kalo pagi keliatan gunung merapi sama malam siluetnya cakep,salah satu tempat ikonik jogja tujuan wisatawan foto foto bilang foto disini tandanya resmi main jogja katanya paling the best viewnya pagi keliatan gunung merapi malam siluetnya cakep
Zxuann,"Tugu Jogja adalah landmark yang luar biasa. Tempat ini memiliki keindahan arsitektur yang memukau dan sejarah yang kaya. Setiap kali saya mengunjungi, suasana di sekitar Tugu terasa tenang dan penuh makna. Tempat ini sangat cocok untuk foto-foto, refleksi pribadi, atau sekadar menikmati keindahan kota Jogja. Tidak hanya menjadi ikon kota, Tugu Jogja juga merupakan simbol kebanggaan masyarakat. Saya sangat merekomendasikan tempat ini untuk siapa saja yang ingin merasakan keindahan dan kedamaian di pusat Jogja. Bintang 5!",setahun lalu,Google Maps (Tugu Jogja),"tugu jogja adalah landmark yang luar biasa. tempat ini memiliki keindahan arsitektur yang memukau dan sejarah yang kaya. setiap kali saya mengunjungi, suasana di sekitar tugu terasa tenang dan penuh makna. tempat ini sangat cocok untuk foto-foto, refleksi pribadi, atau sekadar menikmati keindahan kota jogja. tidak hanya menjadi ikon kota, tugu jogja juga merupakan simbol kebanggaan masyarakat. saya sangat merekomendasikan tempat ini untuk siapa saja yang ingin merasakan keindahan dan kedamaian di pusat jogja. bintang 5!",tugu jogja adalah landmark yang luar biasa tempat ini memiliki keindahan arsitektur yang memukau dan sejarah yang kaya setiap kali saya mengunjungi suasana di sekitar tugu terasa tenang dan penuh makna tempat ini sangat cocok untuk foto foto refleksi pribadi atau sekadar menikmati keindahan kota jogja tidak hanya menjadi ikon kota tugu jogja juga merupakan simbol kebanggaan masyarakat saya sangat merekomendasikan tempat ini untuk siapa saja yang ingin merasakan keindahan dan kedamaian di pusat jogja bintang,tugu jogja adalah landmark luar biasa tempat memiliki keindahan arsitektur memukau sejarah kaya setiap kali mengunjungi suasana sekitar tugu terasa tenang penuh makna tempat cocok foto foto refleksi pribadi sekadar menikmati keindahan kota jogja menjadi ikon kota tugu jogja merupakan simbol kebanggaan masyarakat merekomendasikan tempat siapa ingin merasakan keindahan kedamaian pusat jogja bintang
Om Yo,"Lokasi yg iconic...dah lahh ga bisa diceritakan dg kata², Krn luar biasakk",2 bulan lalu,Google Maps (Tugu Jogja),"lokasi yg iconic...dah lahh ga bisa diceritakan dg kata², krn luar biasakk",lokasi yg iconic dah lahh ga bisa diceritakan dg kata krn luar biasakk,lokasi iconic lahh diceritakan kata krn luar biasakk
Mobit Mob,"Ramai jg di pagi hari, salah satu tempat favorit untuk poto2,",2 bulan lalu,Google Maps (Tugu Jogja),"ramai jg di pagi hari, salah satu tempat favorit untuk poto2,",ramai jg di pagi hari salah satu tempat favorit untuk poto,ramai pagi hari salah satu tempat favorit poto
YB,"biasa ajah...
yg penting udah foto disini 19/6/2025 sebagai bukti doank touring Bekasi - Gunungkidul via Wonosobo/Dieng, Gunungkidul - Bekasi via Kebumen (1700 KM) 15-23 Juni 2025",8 bulan lalu,Google Maps (Tugu Jogja),"biasa ajah...
yg penting udah foto disini 19/6/2025 sebagai bukti doank touring bekasi - gunungkidul via wonosobo/dieng, gunungkidul - bekasi via kebumen (1700 km) 15-23 juni 2025",biasa ajah yg penting udah foto disini sebagai bukti doank touring bekasi gunungkidul via wonosobo dieng gunungkidul bekasi via kebumen km juni,biasa ajah penting foto disini sebagai bukti doank touring bekasi gunungkidul via wonosobo dieng gunungkidul bekasi via kebumen juni
Muhammad Fauzan Tri Aji,"Mampir dri malioboro jgn lupa kesini untuk foto2 apalagi disaat senja dan lingkungannya bersih, pengendaranya pada disiplin",4 bulan lalu,Google Maps (Tugu Jogja),"mampir dri malioboro jgn lupa kesini untuk foto2 apalagi disaat senja dan lingkungannya bersih, pengendaranya pada disiplin",mampir dri malioboro jgn lupa kesini untuk foto apalagi disaat senja dan lingkungannya bersih pengendaranya pada disiplin,mampir dri malioboro jgn lupa kesini foto apalagi disaat senja lingkungannya bersih pengendaranya disiplin
Wahyu Esa Andrean,"Tugu Jogja! Tugu ini adalah salah satu ikon Kota Yogyakarta yang paling terkenal. Berdiri tegak di tengah kota, Tugu Jogja memiliki sejarah dan makna yang dalam bagi masyarakat Yogyakarta.

Tugu Jogja juga dikenal sebagai Tugu Pal Putih atau De Witt Pillar. Monumen ini memiliki desain yang unik dan menjadi landmark yang mudah dikenali. Banyak wisatawan yang mengunjungi Tugu Jogja untuk mengambil foto dan menikmati suasana sekitar.

Tugu Jogja juga menjadi simbol persatuan dan kesatuan bagi masyarakat Yogyakarta. Jika kamu berkunjung ke Yogyakarta, pastikan kamu mampir ke Tugu Jogja untuk merasakan suasana kota yang khas!",Diedit 10 bulan lalu,Google Maps (Tugu Jogja),"tugu jogja! tugu ini adalah salah satu ikon kota yogyakarta yang paling terkenal. berdiri tegak di tengah kota, tugu jogja memiliki sejarah dan makna yang dalam bagi masyarakat yogyakarta.

tugu jogja juga dikenal sebagai tugu pal putih atau de witt pillar. monumen ini memiliki desain yang unik dan menjadi landmark yang mudah dikenali. banyak wisatawan yang mengunjungi tugu jogja untuk mengambil foto dan menikmati suasana sekitar.

tugu jogja juga menjadi simbol persatuan dan kesatuan bagi masyarakat yogyakarta. jika kamu berkunjung ke yogyakarta, pastikan kamu mampir ke tugu jogja untuk merasakan suasana kota yang khas!",tugu jogja tugu ini adalah salah satu ikon kota yogyakarta yang paling terkenal berdiri tegak di tengah kota tugu jogja memiliki sejarah dan makna yang dalam bagi masyarakat yogyakarta tugu jogja juga dikenal sebagai tugu pal putih atau de witt pillar monumen ini memiliki desain yang unik dan menjadi landmark yang mudah dikenali banyak wisatawan yang mengunjungi tugu jogja untuk mengambil foto dan menikmati suasana sekitar tugu jogja juga menjadi simbol persatuan dan kesatuan bagi masyarakat yogyakarta jika kamu berkunjung ke yogyakarta pastikan kamu mampir ke tugu jogja untuk merasakan suasana kota yang khas,tugu jogja tugu adalah salah satu ikon kota yogyakarta paling terkenal berdiri tegak tengah kota tugu jogja memiliki sejarah makna masyarakat yogyakarta tugu jogja dikenal sebagai tugu pal putih witt pillar monumen memiliki desain unik menjadi landmark mudah dikenali wisatawan mengunjungi tugu jogja mengambil foto menikmati suasana sekitar tugu jogja menjadi simbol persatuan kesatuan masyarakat yogyakarta jika berkunjung yogyakarta pastikan mampir tugu jogja merasakan suasana kota khas
ADI PRATAMA NUR,Semoga bisa kembali lagi ke yogya dengan cerita yang berbeda 🙏💪🤲,sebulan lalu,Google Maps (Tugu Jogja),semoga bisa kembali lagi ke yogya dengan cerita yang berbeda 🙏💪🤲,semoga bisa kembali lagi ke yogya dengan cerita yang berbeda,semoga kembali yogya cerita berbeda
Aチceh poenya-,"Start at the beginning of the year✨

Awal tahun 2025, malam itu Jogja terasa istimewa. Aku memutuskan untuk mengunjungi Tugu Jogja , salah satu tempat yang ramai dikunjungi oleh wisatawan lokal maupun mancanegara.

Banyak orang berkumpul di sekitar Tugu, dari wisatawan hingga warga lokal. Ada yang asyik berfoto, ada juga yang sekedar duduk menikmati suasana. Aku pun ikut mengabadikan momen dengan kamera, mencoba mencari sudut terbaik.

Malam di Tugu Jogja itu menjadi salah satu momen awal tahun yang tak terlupakan. Kesederhanaannya yang penuh makna, dipadukan dengan suasana alami, membuat aku ingin kembali lagi.

Malam itu, Jogja benar-benar menunjukkan keajaibannya. Tidak hanya dari pemandangan, tetapi juga dari suasana, orang-orangnya, dan kehangatan yang sulit ditemukan di tempat lain. Awal tahun 2025 dimulai dengan cara yang begitu sederhana, namun penuh makna.

See next time, Jogja.",setahun lalu,Google Maps (Tugu Jogja),"start at the beginning of the year✨

awal tahun 2025, malam itu jogja terasa istimewa. aku memutuskan untuk mengunjungi tugu jogja , salah satu tempat yang ramai dikunjungi oleh wisatawan lokal maupun mancanegara.

banyak orang berkumpul di sekitar tugu, dari wisatawan hingga warga lokal. ada yang asyik berfoto, ada juga yang sekedar duduk menikmati suasana. aku pun ikut mengabadikan momen dengan kamera, mencoba mencari sudut terbaik.

malam di tugu jogja itu menjadi salah satu momen awal tahun yang tak terlupakan. kesederhanaannya yang penuh makna, dipadukan dengan suasana alami, membuat aku ingin kembali lagi.

malam itu, jogja benar-benar menunjukkan keajaibannya. tidak hanya dari pemandangan, tetapi juga dari suasana, orang-orangnya, dan kehangatan yang sulit ditemukan di tempat lain. awal tahun 2025 dimulai dengan cara yang begitu sederhana, namun penuh makna.

see next time, jogja.",start at the beginning of the year awal tahun malam itu jogja terasa istimewa aku memutuskan untuk mengunjungi tugu jogja salah satu tempat yang ramai dikunjungi oleh wisatawan lokal maupun mancanegara banyak orang berkumpul di sekitar tugu dari wisatawan hingga warga lokal ada yang asyik berfoto ada juga yang sekedar duduk menikmati suasana aku pun ikut mengabadikan momen dengan kamera mencoba mencari sudut terbaik malam di tugu jogja itu menjadi salah satu momen awal tahun yang tak terlupakan kesederhanaannya yang penuh makna dipadukan dengan suasana alami membuat aku ingin kembali lagi malam itu jogja benar benar menunjukkan keajaibannya tidak hanya dari pemandangan tetapi juga dari suasana orang orangnya dan kehangatan yang sulit ditemukan di tempat lain awal tahun dimulai dengan cara yang begitu sederhana namun penuh makna see next time jogja,start the beginning the year awal tahun malam jogja terasa istimewa memutuskan mengunjungi tugu jogja salah satu tempat ramai dikunjungi oleh wisatawan lokal maupun mancanegara orang berkumpul sekitar tugu wisatawan hingga warga lokal asyik berfoto sekedar duduk menikmati suasana pun ikut mengabadikan momen kamera mencoba mencari sudut terbaik malam tugu jogja menjadi salah satu momen awal tahun tak terlupakan kesederhanaannya penuh makna dipadukan suasana alami membuat ingin kembali malam jogja benar benar menunjukkan keajaibannya pemandangan tetapi suasana orang orangnya kehangatan sulit ditemukan tempat lain awal tahun dimulai cara begitu sederhana namun penuh makna see next time jogja
Chandra Kirana,"Monuman bersejarah,,ramai pengunjung saat pergatian malam tahun baru...",sebulan lalu,Google Maps (Tugu Jogja),"monuman bersejarah,,ramai pengunjung saat pergatian malam tahun baru...",monuman bersejarah ramai pengunjung saat pergatian malam tahun baru,monuman bersejarah ramai pengunjung pergatian malam tahun baru
