User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
@itauliyasari2821,sama kak😭,1 bulan yang lalu,YouTube (Epstein Part 2),sama kak😭,sama kak,kak
@thalitaalifah3402,mana udah di rangkumin lagih baik banget banget 😭,1 bulan yang lalu,YouTube (Epstein Part 2),mana udah di rangkumin lagih baik banget banget 😭,mana udah di rangkumin lagih baik banget banget,mana rangkumin lagih baik
@umiatik9152,Ini lagi nyeblak kak sambil nunggu jemput anak pulng study wisata😅😅,1 bulan yang lalu,YouTube (Epstein Part 2),ini lagi nyeblak kak sambil nunggu jemput anak pulng study wisata😅😅,ini lagi nyeblak kak sambil nunggu jemput anak pulng study wisata,nyeblak kak sambil nunggu jemput anak pulng study wisata
@SitiRahma-l9i,semangat kak skripsian nyaaaa😊,1 bulan yang lalu,YouTube (Epstein Part 2),semangat kak skripsian nyaaaa😊,semangat kak skripsian nyaaaa,semangat kak skripsian nyaaaa
@hauntedcherry7,"Menurut gua sih mau semanipulatif apapun dia sekaya apapun dia sebesar apapun koneksi dia gak mungkin dia ngumpulin duit segitu banyak dan dpt kerjaan dengan posisi setinggi itu, dia itu di kasih fasilitas sama zionis yg ngegunain dia sebagai mata mata dan dikasih tugas buat ngefasilitasin nafsu elit global dan pake itu buat blackmail mereka",1 bulan yang lalu,YouTube (Epstein Part 2),"menurut gua sih mau semanipulatif apapun dia sekaya apapun dia sebesar apapun koneksi dia gak mungkin dia ngumpulin duit segitu banyak dan dpt kerjaan dengan posisi setinggi itu, dia itu di kasih fasilitas sama zionis yg ngegunain dia sebagai mata mata dan dikasih tugas buat ngefasilitasin nafsu elit global dan pake itu buat blackmail mereka",menurut gua sih mau semanipulatif apapun dia sekaya apapun dia sebesar apapun koneksi dia gak mungkin dia ngumpulin duit segitu banyak dan dpt kerjaan dengan posisi setinggi itu dia itu di kasih fasilitas sama zionis yg ngegunain dia sebagai mata mata dan dikasih tugas buat ngefasilitasin nafsu elit global dan pake itu buat blackmail mereka,menurut gua mau semanipulatif apapun sekaya apapun sebesar apapun koneksi mungkin ngumpulin duit segitu dpt kerjaan posisi setinggi kasih fasilitas zionis ngegunain sebagai mata mata dikasih tugas ngefasilitasin nafsu elit global pake blackmail
@irmairvana2,​ @hauntedcherry7 bisa jadi sih,1 bulan yang lalu,YouTube (Epstein Part 2),​ @hauntedcherry7 bisa jadi sih,bisa jadi sih,
@putridamskydamz,Ehe’ 😂😂,1 bulan yang lalu,YouTube (Epstein Part 2),ehe’ 😂😂,ehe,ehe
@fpuputwulandari9872,Abis tuh si babu tipes ka🤣,1 bulan yang lalu,YouTube (Epstein Part 2),abis tuh si babu tipes ka🤣,abis tuh si babu tipes ka,abis babu tipes
@aliceutomo6988,"Dari kasus ini mengingatkan kita untuk nggak usah ngefans berat sama orang2 kaya yg kayanya nggak masuk akal. Karena jaman sekarang, belum ada orang sekaya itu karena usaha yg halal.",1 bulan yang lalu,YouTube (Epstein Part 2),"dari kasus ini mengingatkan kita untuk nggak usah ngefans berat sama orang2 kaya yg kayanya nggak masuk akal. karena jaman sekarang, belum ada orang sekaya itu karena usaha yg halal.",dari kasus ini mengingatkan kita untuk nggak usah ngefans berat sama orang kaya yg kayanya nggak masuk akal karena jaman sekarang belum ada orang sekaya itu karena usaha yg halal,kasus mengingatkan nggak usah ngefans berat orang kaya kayanya nggak masuk akal jaman sekarang belum orang sekaya usaha halal
@ummufatih1355,Disaat banyak rangkuman dari Chanel lain ku belum tonton karena menunggu babuku tersayang ini.. Akhirnyaaaa 🎉🤩,1 bulan yang lalu,YouTube (Epstein Part 2),disaat banyak rangkuman dari chanel lain ku belum tonton karena menunggu babuku tersayang ini.. akhirnyaaaa 🎉🤩,disaat banyak rangkuman dari chanel lain ku belum tonton karena menunggu babuku tersayang ini akhirnyaaaa,disaat rangkuman chanel lain belum tonton menunggu babuku tersayang akhirnyaaaa
@hawa1123,Memang cmn babang tampan yg jelasinnya paling masuk di otak gw 😭😭,1 bulan yang lalu,YouTube (Epstein Part 2),memang cmn babang tampan yg jelasinnya paling masuk di otak gw 😭😭,memang cmn babang tampan yg jelasinnya paling masuk di otak gw,memang cmn babang tampan jelasinnya paling masuk otak
@SatitiSiwi,"1:05 wkwkk,, gw termasuk yg ngga tau sm sekali kasus ini bg.. Tengkyu udah bahas,, mo dengerin channel lain kok males 😂😅",1 bulan yang lalu,YouTube (Epstein Part 2),"1:05 wkwkk,, gw termasuk yg ngga tau sm sekali kasus ini bg.. tengkyu udah bahas,, mo dengerin channel lain kok males 😂😅",wkwkk gw termasuk yg ngga tau sm sekali kasus ini bg tengkyu udah bahas mo dengerin channel lain kok males,wkwkk termasuk ngga tau sekali kasus tengkyu bahas dengerin channel lain males
@AxeliousBolton,Menolak mendengarkan rangkuman ini kecuali di bawakan oleh hirotada glowing,1 bulan yang lalu,YouTube (Epstein Part 2),menolak mendengarkan rangkuman ini kecuali di bawakan oleh hirotada glowing,menolak mendengarkan rangkuman ini kecuali di bawakan oleh hirotada glowing,menolak mendengarkan rangkuman kecuali bawakan oleh hirotada glowing
@dianaikafatmasari1704,Cara bang Hiro menceritakan dengan lengkap sangat  enak dan mudah di pahami. Keren bang aku langsung paham. Dan kayak seolah diajak gosip. Seru bang 😁,1 bulan yang lalu (diedit),YouTube (Epstein Part 2),cara bang hiro menceritakan dengan lengkap sangat  enak dan mudah di pahami. keren bang aku langsung paham. dan kayak seolah diajak gosip. seru bang 😁,cara bang hiro menceritakan dengan lengkap sangat enak dan mudah di pahami keren bang aku langsung paham dan kayak seolah diajak gosip seru bang,cara bang hiro menceritakan lengkap enak mudah pahami keren bang langsung paham kayak seolah diajak gosip seru bang
@mellatianasari1527,Tahun 2025 recap yt ku 500 lebih video hirotada radivan .. nahh 2026 baru februari udh bingung cz diulang2 trus masih banyak yg masih inget gitu.. alhasil aku jadi nonton dracin karena video babang glowing dah habis ku rewach di tahun 2025 😂,1 bulan yang lalu,YouTube (Epstein Part 2),tahun 2025 recap yt ku 500 lebih video hirotada radivan .. nahh 2026 baru februari udh bingung cz diulang2 trus masih banyak yg masih inget gitu.. alhasil aku jadi nonton dracin karena video babang glowing dah habis ku rewach di tahun 2025 😂,tahun recap yt ku lebih video hirotada radivan nahh baru februari udh bingung cz diulang trus masih banyak yg masih inget gitu alhasil aku jadi nonton dracin karena video babang glowing dah habis ku rewach di tahun,tahun recap video hirotada radivan nahh baru februari udh bingung diulang trus masih masih inget gitu alhasil nonton dracin video babang glowing habis rewach tahun
