Username,Rating,Isi Ulasan,Waktu Ulasan
Feri Iskandar,5 bintang,"Tadi malam saya iseng jalan kaki dari Ambarukmo Plaza menuju Tugu Jogja. Perjalanan yang cukup jauh, tapi menyenangkan. Di depan Mall Art Gallery, saya sempat berhenti makan mie ayam pinggir jalan—sederhana tapi enak banget, apalagi dinikmati sambil lihat lalu lintas malam Jogja yang padat. Sampai di area Tugu, suasananya benar-benar ramai. Banyak orang berkumpul, entah sekadar nongkrong atau antre foto dengan ikon legendaris Jogja itu. Saya pun sempat ambil beberapa foto pakai tongsis, meskipun harus sabar menunggu giliran karena banyak juga yang foto bareng teman atau keluarga. Jalanan macet total, kendaraan padat merayap dari segala arah. Tapi justru di situlah khasnya Jogja—di tengah keramaian, tugu tetap berdiri tenang, jadi saksi bisu kota yang selalu hidup. Saya jadi berpikir, selain gudeg dan suasana adem, Jogja itu juga terkenal dengan lampu merahnya. Hampir di setiap persimpangan, pasti ketemu bangjo. Tapi ya itulah Jogja: padat, hangat, dan selalu bikin kangen.",Diedit 8 bulan lalu
Imas Meilani,5 bintang,"Fyp Instagramku muncul katanya ""Jogja, tunggu aku ya. Aku akan kembali dengan orang yang tak kalah istimewanya denganmu"" huhu, nyatanya bolak balik lagi ke Jogja belum ada yang kubawa hihi. Mengesampingkan itu, Jogja memang punya vibes tersendiri untuk dikunjungi berkali kali.",5 bulan lalu
Risqia,5 bintang,Sore sore ke tugu asik juga liatin lalu lintas ramai lancar di saat weekday,sebulan lalu
BlackiD17,5 bintang,Yah...cukup berkesan untuk kita nyore di pusat kota jogja,sebulan lalu
Rio Raseda,5 bintang,"Salah satu spot foto terbaik dalam kota menjelang malam, bisa main slow speed, time lapse, keren.. Banyak fotografer pro sekitar tugu dengan jasa foto yang bersahabat. Bisa ngopi juga disetiap sudut ada warkop dan cafe",Diedit 6 bulan lalu
Jonathan Fungsiwinata,5 bintang,"Salah satu ikon kota Yogyakarta yang tidak bisa dijelaskan seberapa besar daya tariknya.
Tugu di tengah kota yang menjadi ""titik janji"" untuk kembali ke Yogyakarta.",4 bulan lalu
AstiY.,5 bintang,Tempat yang harus dikunjungi saat ke Jogja. Mungkin harus berhati-hati untuk para pejalan kaki karena disini juga ramai kendaraan. Banyak tempat ngopi dan nongkrong di pinggirannya untuk menikmati keindahan tugu jogja.,Diedit 7 bulan lalu
Encull,5 bintang,"Lagi rame karena holiday hehehe, tapi gapapa.. tetep nyaman karena jalannya sama pacar🫢🫰🏻. Pertama kali main jalan kaki dari titik nol sampe tugu jogja, lumayan jugaa.. suasana syahdu bcs udah tengah malem. Banyak toko yang udah tutup, tapi jalanan masih ramaiii😍
Akhirnya duduk lesehan sambil minum kopi & matcha😋, ngobrol sambil liatin orang dan motor lewat juga romantiss hehee❤️",3 minggu lalu
Dini Adhania,5 bintang,"Bisa jd tempat istirahat kalo lg jalan sore atau jogging, sambil ngeliatin hiruk pikuk keramaian Jogja.",4 bulan lalu
S I R,5 bintang,"Rame banget kebetulan jalan pas malam. Banyak spot foto2 cantik dan ada mesin foto juga disana, cuma tidak sempat mencoba karena antri panjaang",3 bulan lalu
