User,Teks,Waktu,Sumber,Teks_Bersih
Sasma Lenda,pengiriman sangat lelet dan saya sudah 2 Minggu menunggu paket dan saya gk jadi keluar kota karna menunggu paket yg sangat lama.,3/8/2026 12:53,Shopee,pengiriman lelet minggu menunggu paket keluar kota menunggu paket lama
Mikhael C. Sulaiman,"Bagus, Murah, dan Lengkap...",3/8/2026 12:53,Shopee,bagus murah lengkap
Agoes Rachmat S,menyenangkan belanja di shopee,3/8/2026 12:52,Shopee,menyenangkan belanja shopee
Nuria Ulfa,Slalu suka dan puas belanja di shopee,3/8/2026 12:52,Shopee,slalu suka puas belanja shopee
Sugi Andre,josssd,3/8/2026 12:51,Shopee,josssd
Iqbal Mahpudin,"aku sering belanja dishopee bahkan hampir setiap hari, tapi pas ngajuin paylater selalu ditolak terus, saya kecewa dengan apk shopee tidak bisa meringankan pengguna",3/8/2026 12:50,Shopee,sering belanja dishopee bahkan hampir setiap hari pas ngajuin paylater selalu ditolak kecewa apk shopee meringankan pengguna
Dapur Inovasi 47,"Mudah digunakan,Sangat membantu smoga semakin Baik dalam pelayanan,Trims",3/8/2026 12:48,Shopee,mudah digunakan membantu smoga semakin baik pelayanan trims
Video Snack,"udh seminggu main ketuk beduk selalu alasannya ""maaf terjadi kesalahan"" apaan itu udh capek ketuk sampe 100% masih aja itu alasannya apalah💩",3/8/2026 12:47,Shopee,udh seminggu main ketuk beduk selalu alasannya maaf terjadi kesalahan apaan udh capek ketuk sampe masih alasannya apalah
Anas Azwar,bagus banget aplikasi nya harganya murah dan gratis ongkir,3/8/2026 12:46,Shopee,bagus banget aplikasi harganya murah gratis ongkir
dongkrak bos,puas bnget,3/8/2026 12:46,Shopee,puas bnget
Suyono ST,Ok bangett & teramat sangat mrmbantu. semakin kesini semakin the best.no 1,3/8/2026 12:46,Shopee,bangett teramat mrmbantu semakin kesini semakin the best
Nella Irmayanda,"pesanan main batalkan aja tanpa konfirmasi, padahal paket sudah digudang kecamatan. Buat laporan tidak ada solusi.",3/8/2026 12:45,Shopee,pesanan main batalkan tanpa konfirmasi padahal paket digudang kecamatan laporan solusi
Hafizh,arigato,3/8/2026 12:45,Shopee,arigato
Budi Ndong,kenapa paket saya di tahan selama 14 harii dii bekasii manaa semua paket sayaa bukan cuman 1 paket,3/8/2026 12:44,Shopee,kenapa paket tahan selama harii dii bekasii manaa semua paket sayaa bukan cuman paket
Amirah Sahla,banyak yang gratis,3/8/2026 12:44,Shopee,gratis
Khairol Razi,"Pengalaman belanja online di shopee terasa sangat memuaskan, hemat, dan praktis.",3/8/2026 12:42,Shopee,pengalaman belanja online shopee terasa memuaskan hemat praktis
Surya Setia Darma,Shopee terpercaya,3/8/2026 12:42,Shopee,shopee terpercaya
momon raharjo,ok,3/8/2026 12:42,Shopee,
Faiz Mita,berbelanja lebih mudah dah hemat dari rumah...,3/8/2026 12:41,Shopee,berbelanja mudah dah hemat rumah
alea calista,Aplikasi all-in-one! Dari kebutuhan sehari-hari sampai barang unik ada semua. Promo koinnya juga bikin ketagihan belanja,3/8/2026 12:40,Shopee,aplikasi all one kebutuhan sehari hari barang unik semua promo koinnya bikin ketagihan belanja
Bandit Gaming,Pengiriman yang ga pernah sesuai dengan estimasi yang tertera saya mesan paket tanggal 27 di aplikasi estimasi nya tanggal 4 sampai tapi apaa sampai tanggal 8 juga belum kunjung datang dan paket tersebut ngstak di lampung dari tanggal 1 sampai delapan SPX lelet ganti saja lagi dengan JNT,3/8/2026 12:40,Shopee,pengiriman pernah sesuai estimasi tertera mesan paket tanggal aplikasi estimasi tanggal apaa tanggal belum kunjung datang paket tersebut ngstak lampung tanggal delapan spx lelet ganti jnt
su genk,mau yg lbh gede lagi dapat na biar ocd,3/8/2026 12:39,Shopee,mau lbh gede dapat biar ocd
