User,Teks,Waktu,Sumber,Teks_Bersih
Yadilla Qia,"cantik, suasana malamnya enak, ada 'sesuatu' di jogja yang buat nyaman dan tenang …",3 tahun lalu,Google Maps (Tugu Jogja),cantik suasana malamnya enak sesuatu jogja nyaman tenang
Ido Ramdani,"Ikon kota Yogyakarta. Ketika malam cocok untuk bersantai menikmati suasana mempesona Yogyakarta, karena banyak angkringan disekitar tugu. Ada tempat parkir di dekat tugu. Sangat direkomendasikan ketika berkunjung ke Yogyakarta.",6 tahun lalu,Google Maps (Tugu Jogja),ikon kota yogyakarta ketika malam cocok bersantai menikmati suasana mempesona yogyakarta angkringan disekitar tugu tempat parkir dekat tugu direkomendasikan ketika berkunjung yogyakarta
Arif Budiman,"Tugu Jogja, merupakan ikon Jogja. Berada dalam urutan imajiner satu garis dengan sumbu filosofis : Gunung Merapi, Tugu Jogja, Kraton Jogja, Panggung Krapyak dan Pantai Parangtritis. Tempat foto-foto wisatawan yang berkunjung di Jogja karena …",3 tahun lalu,Google Maps (Tugu Jogja),tugu jogja merupakan ikon jogja berada urutan imajiner satu garis sumbu filosofis gunung merapi tugu jogja kraton jogja panggung krapyak pantai parangtritis tempat foto foto wisatawan berkunjung jogja
Royan sapta,"Hanya tugu, namun mempunyai nilai filosofi sejarah yang sangat mendalam. Salah satu iconic saat berkunjung ke kota jogja. Paling pas melewati tempat ini sore hingga malam hari.",Diedit setahun lalu,Google Maps (Tugu Jogja),tugu namun mempunyai nilai filosofi sejarah mendalam salah satu iconic berkunjung kota jogja paling pas melewati tempat sore hingga malam hari
Suryadi,"Pertama kali ke Jogja itu suatu pengalaman yang sangat berarti, diibaratkan masa muda berkelana tua bercerita",9 bulan lalu,Google Maps (Tugu Jogja),pertama kali jogja suatu pengalaman berarti diibaratkan masa muda berkelana tua bercerita
Digit Kumara,"monumen tugu, spot foto, kalau mau fapat spotnya dan tidak ramai, diusahakan pagi sampai sebelum jam 6 atau tengah malam, karena tempatnya di perempatan lampu merah, relatif ramai kalau siang kendaraan lalu lalang",2 tahun lalu,Google Maps (Tugu Jogja),monumen tugu spot foto mau fapat spotnya ramai diusahakan pagi sebelum jam tengah malam tempatnya perempatan lampu merah relatif ramai siang kendaraan lalu lalang
RIZAL FAHRUDIN,"Setelah cukup lama pengen ke kota jogja, akhirnya di 2023 bisa liburan ke jogja",2 tahun lalu,Google Maps (Tugu Jogja),setelah cukup lama pengen kota jogja akhirnya liburan jogja
Taufik Hidayat at-Tanari,"Tugu Yogyakarta (bahasa Jawa: ꦠꦸꦒꦸꦔꦪꦺꦴꦒꦾꦏꦂꦠ, translit. Tugu Ngayogyakarta) adalah sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari kota Yogyakarta. …",6 tahun lalu,Google Maps (Tugu Jogja),tugu yogyakarta bahasa jawa translit tugu ngayogyakarta adalah sebuah tugu monumen sering dipakai sebagai simbol lambang kota yogyakarta
Lina911,"Landmark kota Jogja, oke banget kalau buat foto - foto cuman harus berhati - hati banget dengan kendaraan yang berlalu lalang, karena terletak di tengah2 perempatan besar pusat kota Jogja. Kalau aku sih biasanya parkir motor di Malioboro mall, baru nanti jalan kaki ke Tugu Jogja gitu deh.",4 tahun lalu,Google Maps (Tugu Jogja),landmark kota jogja oke banget foto foto cuman harus berhati hati banget kendaraan berlalu lalang terletak tengah perempatan besar pusat kota jogja biasanya parkir motor malioboro mall baru nanti jalan kaki tugu jogja gitu deh
carlos hendrawan,"Tempat yang ICONIC di Jogja,, kalau liburan jangan sampe kelewat foto disini ya gaes. Tips kesini biar dapet spot foto yg bagus ya jangan pas hari libur sekolah karena udah di pastiin bakal rame apalagi kalau tahun baru duhh dijamin gak bakal bisa lewat",2 tahun lalu,Google Maps (Tugu Jogja),tempat iconic jogja liburan sampe kelewat foto disini gaes tips kesini biar dapet spot foto bagus pas hari libur sekolah pastiin bakal rame apalagi tahun baru duhh dijamin bakal lewat
baihaqiazka ekonomika,"Tugu Jogja, juga dikenal sebagai Tugu Yogyakarta atau Tugu Pal Putih, adalah salah satu landmark ikonik yang terletak di pusat kota Yogyakarta, Indonesia. Tugu ini memiliki makna historis dan simbolis yang penting bagi masyarakat …",2 tahun lalu,Google Maps (Tugu Jogja),tugu jogja dikenal sebagai tugu yogyakarta tugu pal putih adalah salah satu landmark ikonik terletak pusat kota yogyakarta indonesia tugu memiliki makna historis simbolis penting masyarakat
Rizal Kusumo,Berlibur di kota jogjakarta memang menyenangkan bersama keluarga tercinta,setahun lalu,Google Maps (Tugu Jogja),berlibur kota jogjakarta memang menyenangkan bersama keluarga tercinta
Mata Dewa,"Keindahan Tugu menurut sejarah Tugu Yogyakarta dibangun oleh Sri Sultan Hamengkubuwono I pada tahun 1755. Pada awalnya, tugu ini berbentuk Golong-Gilig dan mempunyai tinggi mencapai 25 meter, dimana tiang dari tugu ini berbentuk Gilig …",5 tahun lalu,Google Maps (Tugu Jogja),keindahan tugu menurut sejarah tugu yogyakarta dibangun oleh sri sultan hamengkubuwono tahun awalnya tugu berbentuk golong gilig mempunyai tinggi mencapai meter dimana tiang tugu berbentuk gilig
Yudha Wira Pratama Abdillah,"Jogja itu tempat yang indah, sekaligus berbahaya—untuk jatuh cinta. Entah, selalu ada alasan untuk kembali ke Jogja, sejauh apa pun itu jaraknya, selama apa pun itu jarak tempuhnya.",2 tahun lalu,Google Maps (Tugu Jogja),jogja tempat indah sekaligus berbahaya jatuh cinta entah selalu alasan kembali jogja sejauh pun jaraknya selama pun jarak tempuhnya
dr.diah anung,"Salah satu icon kota jogja,selain terkenal dengan gudeg jogja....terletak dipusat kota jogja...dan menjadi destinasi wajib yg harus dikunjungi ketika datang ke jogja...bisa berselfi dan menikmati kuliner sekitaran tugu antara lain angkringan didekat tugu sambil melihat pamandangan tugu jogja...",5 tahun lalu,Google Maps (Tugu Jogja),salah satu icon kota jogja selain terkenal gudeg jogja terletak dipusat kota jogja menjadi destinasi wajib harus dikunjungi ketika datang jogja berselfi menikmati kuliner sekitaran tugu antara lain angkringan didekat tugu sambil melihat pamandangan tugu jogja
Amani 0830,"Tempat yang tidak menjenuhkan,

Tidak pernah sepi bahkan tengah malam sekalipun …",3 tahun lalu,Google Maps (Tugu Jogja),tempat menjenuhkan pernah sepi bahkan tengah malam sekalipun
Rully W,"Tugu Pal Putih Yogyakarta. Terletak di perempatan jalan Diponegoro, AM Sangaji, Mangkubumi dan jalan Sudirman.
Tugu ini merupakan ciri khas kota Yogyakarta. …",3 tahun lalu,Google Maps (Tugu Jogja),tugu pal putih yogyakarta terletak perempatan jalan diponegoro sangaji mangkubumi jalan sudirman tugu merupakan ciri khas kota yogyakarta
Sayyidah Nuriyah,"Jogja banget :"") banyak street photographer. Sejuk, enak buat jogging",sebulan lalu,Google Maps (Tugu Jogja),jogja banget street photographer sejuk enak jogging
Fahmi Oy,Kondisi saat Weekend sangat ramai. Banyak turis lokal yang menghabiskan liburannya disini. Jogjakarta mantap......👍👍👍👍👍 …,3 tahun lalu,Google Maps (Tugu Jogja),kondisi weekend ramai turis lokal menghabiskan liburannya disini jogjakarta mantap
Dewi Riska,"Tempat nya sangat mudah di jangkau, ada di samping jalan raya besar. Sedangkan letak tugu Jogja nya ada di tengah-tengah perempatan. Biasanya akan ramai di datangi pengunjung ketika malam hari, sedangkan ketika pagi/siang hari akan sangat …",7 tahun lalu,Google Maps (Tugu Jogja),tempat mudah jangkau samping jalan raya besar sedangkan letak tugu jogja tengah tengah perempatan biasanya ramai datangi pengunjung ketika malam hari sedangkan ketika pagi siang hari
Rizky Amalya,"Siapa sih yang ga tau tugu ikonik ini
Tempatnya rame, cocok buat nongkrong liat hiruk pikuk jogja",setahun lalu,Google Maps (Tugu Jogja),siapa tau tugu ikonik tempatnya rame cocok nongkrong liat hiruk pikuk jogja
mimi riri,"Salah satu Icon di jogja, yg harus kamu datangin utk foto...",setahun lalu,Google Maps (Tugu Jogja),salah satu icon jogja harus datangin utk foto
nurma astrid utami,"Salah satu sakti perjalanan hidup di jogja, agak menenangkan tiap liat tugu ini, entah kenapa",setahun lalu,Google Maps (Tugu Jogja),salah satu sakti perjalanan hidup jogja agak menenangkan tiap liat tugu entah kenapa
Dentiano Nugroho,"Salah satu landmark di jogja yang bernama TUGU PAL PUTIH JOGJA. Saat ini tugu jogja sudah bebas kabel dan saat pandemi tidak dapat mendekat/masuk area tugu. Saya seorang fotografer, saya akan memberikan tips & triks foto di tugu.  Waktu …",4 tahun lalu,Google Maps (Tugu Jogja),salah satu landmark jogja bernama tugu pal putih jogja tugu jogja bebas kabel pandemi dapat mendekat masuk area tugu seorang fotografer memberikan tips triks foto tugu waktu
butterfly,"Tempat bersejarah bagi Yogyakarta.
Dulunya yang setiap hari bisa berkali-kali melewati Tugu sekarang sudah berbeda. …",5 tahun lalu,Google Maps (Tugu Jogja),tempat bersejarah yogyakarta dulunya setiap hari berkali kali melewati tugu sekarang berbeda
Iz Mhie,"Kesini tengah malam hanya buat semedi di tugu😄
Parkir di jogja lumayan susah dan sedikit mahal ya dibandingkan dgn kota lainya …",2 tahun lalu,Google Maps (Tugu Jogja),kesini tengah malam semedi tugu parkir jogja lumayan susah sedikit mahal dibandingkan dgn kota lainya
Ning Dyah,"Kata orang belum ke Yogja kalau belum foto di sini. Salahsatu sudut bersejarah kota Yogja.
Tidak jauh dari kesan remang-remang, kenpa gak dibikin terang y? Mungkin dengan maksud supaya tugu yang jd ikon terlihat menonjol dan bersinar.",setahun lalu,Google Maps (Tugu Jogja),kata orang belum yogja belum foto sini salahsatu sudut bersejarah kota yogja jauh kesan remang remang kenpa dibikin terang mungkin maksud supaya tugu ikon terlihat menonjol bersinar
Adilah Daffadany Rabbani,"Yang selalu dikunjungi bagi para turis ketika ke Yogyakarta. Bukan hanya keramaian orang-orang berfoto ria yang bisa dinikmati, disekitar tugu banyak angkringan buat ngopi santai. Sambil melihat lalu lalang jalan ramai jogja",7 tahun lalu,Google Maps (Tugu Jogja),selalu dikunjungi para turis ketika yogyakarta bukan keramaian orang orang berfoto ria dinikmati disekitar tugu angkringan ngopi santai sambil melihat lalu lalang jalan ramai jogja
Kudu iso,"Tugu Jogja merupakan salah satu icon dari jogjakarta, merupakan penanda kita sedang berada di jogjakarta. Penuh orang nongkrong duduk-duduk sambil melihat orang berlalu lalang dan menikmati suasana jogjakarta yang selalu membuat orang selalu rindu akan kota ini.",setahun lalu,Google Maps (Tugu Jogja),tugu jogja merupakan salah satu icon jogjakarta merupakan penanda sedang berada jogjakarta penuh orang nongkrong duduk duduk sambil melihat orang berlalu lalang menikmati suasana jogjakarta selalu membuat orang selalu rindu kota
TIGA Ndra,Sy sih asli jogja.tpi baru tahun2 kmrn sm thn ini  mau foto disini nih...sebenernya takut sama mas pocong tuh..demi anak tengah yg suka foto disini yaa bagai mana lagii.apa lagi mbak kunti bawa pocong bayiii.hiiiiiiiiiiiiiiii,5 tahun lalu,Google Maps (Tugu Jogja),asli jogja tpi baru tahun kmrn thn mau foto disini nih sebenernya takut mas pocong tuh demi anak tengah suka foto disini yaa bagai mana lagii mbak kunti bawa pocong bayiii hiiiiiiiiiiiiiiii
kampunk production (KAMPRO),"selalu ada panggilan diri tuk berswafoto disini...
terlebih untuk saya yang SOLO RIDE :
PASAR MINGGU(JKT)-JOGYAKARTA...",5 tahun lalu,Google Maps (Tugu Jogja),selalu panggilan diri tuk berswafoto disini terlebih solo ride pasar minggu jkt jogyakarta
Ayu Kinanti,"Sebelumnya bernama tugu golog gilig, sering dipakai sebagai simbol atau lambang dari kota Yogyakarta. Tugu ini dibangun oleh pemerintah Belanda setelah tugu sebelumnya runtuh akibat gempa. Letaknya di tengah petempatan sehingga jika ingin foto di depannya diharap hati-hati mengikuti rambu lalu lintas. Foto dari sampingpun nampak elok.",7 tahun lalu,Google Maps (Tugu Jogja),sebelumnya bernama tugu golog gilig sering dipakai sebagai simbol lambang kota yogyakarta tugu dibangun oleh pemerintah belanda setelah tugu sebelumnya runtuh akibat gempa letaknya tengah petempatan sehingga jika ingin foto depannya diharap hati hati mengikuti rambu lalu lintas foto sampingpun nampak elok
Risa Nuraini,"Ini di dalam toko Bakpiaku.
Bakpianya enak bgt… coklatnya bener2 nyoklat n lumeerrr.. …",2 tahun lalu,Google Maps (Tugu Jogja),toko bakpiaku bakpianya enak bgt coklatnya bener nyoklat lumeerrr
Arif Afrian,"Lokasinya tepat di tengah-tengah kota Yogyakarta.. jika ditarik lurus nanti bakal sejalur dengan keraton yogyakarta, alun-alun kidul, km 0 jogja, malioboro, dan sampai dengan Gunung Merapi. Tugu ini icon khas dari Yogyakarta. Mempunyai …",7 tahun lalu,Google Maps (Tugu Jogja),lokasinya tepat tengah tengah kota yogyakarta jika ditarik lurus nanti bakal sejalur keraton yogyakarta alun alun kidul jogja malioboro gunung merapi tugu icon khas yogyakarta mempunyai
Asta Kintari (ASky),"tugu jogja sangatla indah berwarna putih dan emas. pada malam hari terlihat tak kalah indahnya, saat malam hari ada orang"" yg berkumpul disana.
lokasinya yang menghubungkan 4jalur utama jalan jogja",5 tahun lalu,Google Maps (Tugu Jogja),tugu jogja sangatla indah berwarna putih emas malam hari terlihat tak kalah indahnya malam hari orang berkumpul disana lokasinya menghubungkan jalur utama jalan jogja
Deliana Deliana,Ini first seller nya untuk tugu jogja bakpia kukus jadi pasti expired nya masih lama,setahun lalu,Google Maps (Tugu Jogja),first seller tugu jogja bakpia kukus pasti expired masih lama
Radhitya Wiratama,"Dua tahun sudah tak ke Jogja, sekalinya ke Jogja bermalam di hotel dekat Tugu sekalian aja foto2 di sini. Klo mau foto dan swafoto, bisa di trotoar dari Jl. Sudirman ke arah Mangkubumi. Di sana juga ada miniatur kompleks Keraton Yogyakarta …",3 tahun lalu,Google Maps (Tugu Jogja),dua tahun tak jogja sekalinya jogja bermalam hotel dekat tugu sekalian foto sini klo mau foto swafoto trotoar sudirman arah mangkubumi sana miniatur kompleks keraton yogyakarta
Matt Azmar,"Tugu merupakan simbol dari garis yg menghubungkan Laut Selatan, Keraton Yogyakarta dan Gunung Merapi.
Tugu ini juga merupakan Landmark kota Yogyakarta yang paling terkenal.",setahun lalu,Google Maps (Tugu Jogja),tugu merupakan simbol garis menghubungkan laut selatan keraton yogyakarta gunung merapi tugu merupakan landmark kota yogyakarta paling terkenal
M Rahman,Spot instagenic dan instagramable di jogja. Banyak yg poto poto disini. Disini kalo malem ada semacam petugas yang jaga bagi wisatawan yang mau poto poto disini jadi aman dari kendaraan yang lalu lalang,6 tahun lalu,Google Maps (Tugu Jogja),spot instagenic instagramable jogja poto poto disini disini malem semacam petugas jaga wisatawan mau poto poto disini aman kendaraan lalu lalang
Muhammad Rizky Renaldi,Luar biasa kota jogja. Kota sejuta keindahan di setiap sudut nya. Bikin betah dan ga mau pulang.,setahun lalu,Google Maps (Tugu Jogja),luar biasa kota jogja kota sejuta keindahan setiap sudut bikin betah mau pulang
Doni Agustia Romli,"Bagiku, apa yang ada di JOGJA itu sangat sulit untuk diungkapkan dengan kata-kata ... Saking cintanya saya sama JOGJA 🥰❤️

Karena, bagi siapapun yang pernah berkunjung/pernah menginjakan kakinya di JOGJA, apalagi pernah merasakan bagaimana rasanya ""AIR"" di JOGJA .... Suatu saat pasti akan dan bakal kembali lagi ke JOGJA..

Karena JOGJA terbuat dari:
• RINDU
• PULANG dan
• ANGKRINGAN
♥️🤍🖤........🫶🏻

🇮🇩❤️",setahun lalu,Google Maps (Tugu Jogja),bagiku jogja sulit diungkapkan kata kata saking cintanya jogja siapapun pernah berkunjung pernah menginjakan kakinya jogja apalagi pernah merasakan bagaimana rasanya air jogja suatu pasti bakal kembali jogja jogja terbuat rindu pulang angkringan
Intanee Cahyandari,"Menikmati senja disini menyenangkan sekali, meskipun tidak pernah sepi kendaraan yg berlalu lalang..
Semakin malam semakin ramai... 😁",setahun lalu,Google Maps (Tugu Jogja),menikmati senja disini menyenangkan sekali meskipun pernah sepi kendaraan berlalu lalang semakin malam semakin ramai
Damairia Pakpahan,Gelato Senja rasa strawberry ditutupi moci lucu kreativitasnya namun rasa kok kurang strawberrynya terlalu manis...kebanyakan susu kayaknya....,setahun lalu,Google Maps (Tugu Jogja),gelato senja rasa strawberry ditutupi moci lucu kreativitasnya namun rasa kok kurang strawberrynya terlalu manis kebanyakan susu kayaknya
Nellaeka Nella1717,Jogya dengan 1001 cerita 😍 i’ll be back for sure ❤️,4 bulan lalu,Google Maps (Tugu Jogja),jogya cerita back for sure
Ressa Teja Arivianto,"Tugu jogja merupakan simbolik dr kota yogya yg sangat terkenal n terkesan,banyak wisatawan local maunpun inter local ingin sekali ber fhoto di tugu ini,selain itu disrkeliling tugu menyajikan warung dr level menrngah smpai high class untuk melihat keindahan kota yogya n tuguu yogya di malam hati",2 tahun lalu,Google Maps (Tugu Jogja),tugu jogja merupakan simbolik kota yogya terkenal terkesan wisatawan local maunpun inter local ingin sekali ber fhoto tugu selain disrkeliling tugu menyajikan warung level menrngah smpai high class melihat keindahan kota yogya tuguu yogya malam hati
taufik sae,"semakin lama monumen tugu semakin diperhatikan... dulu masih bisa neik naik di tangga tugu.. sekarang dah diberi pembatas....
sekitar tugu juga sudah direvitalisasi.. jadi semakin bagus... dan semakin indah....",6 tahun lalu,Google Maps (Tugu Jogja),semakin lama monumen tugu semakin diperhatikan dulu masih neik naik tangga tugu sekarang dah diberi pembatas sekitar tugu direvitalisasi semakin bagus semakin indah
Kang Mas,Suasana khas jogya dan tempat enak buat begadang,4 bulan lalu,Google Maps (Tugu Jogja),suasana khas jogya tempat enak begadang
Fatimah AM,"Salah satu icon Jogja, tmptnya cukup bersih dan bnyk spot jajanan. Namun padetnya luar biasa kalau liburan",5 bulan lalu,Google Maps (Tugu Jogja),salah satu icon jogja tmptnya cukup bersih bnyk spot jajanan namun padetnya luar biasa liburan
narulita palupi,"seruu banget, motoran ke sini dari jatim ..",2 bulan lalu,Google Maps (Tugu Jogja),seruu banget motoran sini jatim
Julkaini julfa,"Setiap kali ke Yogyakarta pasti menyempatkan berfoto disini..karena bagi pengunjung dari Kalimantan tidak sah ke Yogyakarta apabila tidak berfoto disini sama wajibnya berfoto di jalan Malioboro.
Kawasan ini sekarang punya tampilan yang lebih bagus dengan penataan yang lebih baik dan tidak kelihatan lagi kabel kabel di atasnya.
momen 23 Desember 2020",5 tahun lalu,Google Maps (Tugu Jogja),setiap kali yogyakarta pasti menyempatkan berfoto disini pengunjung kalimantan sah yogyakarta apabila berfoto disini wajibnya berfoto jalan malioboro kawasan sekarang punya tampilan bagus penataan baik kelihatan kabel kabel atasnya momen desember
Agus winarto,"Kegiatan jalan kaki di pagi hari cocok untuk menikmati suasana di tugu jogya
Masih sepi dari lalu lintas",9 bulan lalu,Google Maps (Tugu Jogja),kegiatan jalan kaki pagi hari cocok menikmati suasana tugu jogya masih sepi lalu lintas
sabbyn,Ikonnya Jogja ya? Sekarang Kota ini terasa berbeda. Terang cahaya tak hangat sebelumnya. Jogjaku berbeda.,11 bulan lalu,Google Maps (Tugu Jogja),ikonnya jogja sekarang kota terasa berbeda terang cahaya tak hangat sebelumnya jogjaku berbeda
Eko Sugeng Widodo,"Tugu Jogja

Tugu Jogja dibangun pada tahun 1755 oleh Sri Sultan Hamangku Buwono I, pendiri keraton Yogyakarta. Tugu memiliki nilai simbolis dan merupakan garis yang menghubungkan Laut Selatan, Keraton Yogyakarta, dan Gunung Merapi. Pada saat awal berdiri, secara tegas bangunan menggambarkan Manunggaling Kawula Gusti, yaitu semangat persatuan rakyat dan penguasa untuk melawan penjajah.",2 tahun lalu,Google Maps (Tugu Jogja),tugu jogja tugu jogja dibangun tahun oleh sri sultan hamangku buwono pendiri keraton yogyakarta tugu memiliki nilai simbolis merupakan garis menghubungkan laut selatan keraton yogyakarta gunung merapi awal berdiri secara tegas bangunan menggambarkan manunggaling kawula gusti yaitu semangat persatuan rakyat penguasa melawan penjajah
Eduardus Kristyadi,"Tugu jogja selalu jadi tempat duduk bengong pas lagi gak tau mau kemana lagi, karena bosen di kosan terus duduk di pinggiran jalan sambil ngeliatin tugu rasanya nyaman",setahun lalu,Google Maps (Tugu Jogja),tugu jogja selalu tempat duduk bengong pas tau mau kemana bosen kosan duduk pinggiran jalan sambil ngeliatin tugu rasanya nyaman
wardi ok,"Salah satu ikon dikota jogja, sudut dr cafe cocok untuk foto,",6 bulan lalu,Google Maps (Tugu Jogja),salah satu ikon dikota jogja sudut cafe cocok foto
Anisha YK,"Icon Jogja yang tentunya wajib dikunjungi kalian yang datang ke Jogja. Kalian bisa ke monumen Tugu golong gilig, atau kalau malam kalian bisa sambil nongkrong jajan pinggir jalan, tersedia variasi mau yang versi mahal (cafe) atau yg versi merakyat semua ada di perempatan ini.",3 tahun lalu,Google Maps (Tugu Jogja),icon jogja tentunya wajib dikunjungi kalian datang jogja kalian monumen tugu golong gilig malam kalian sambil nongkrong jajan pinggir jalan tersedia variasi mau versi mahal cafe versi merakyat semua perempatan
Muhammad Fadhil,"Sebagai simbol Kota Yogyakarta, Tugu Jogja memiliki nilai historis tinggi. Dibangun sejak zaman kolonial dan menjadi bagian dari garis imajiner Keraton Yogyakarta, Gunung Merapi, dan Pantai Selatan.",11 bulan lalu,Google Maps (Tugu Jogja),sebagai simbol kota yogyakarta tugu jogja memiliki nilai historis tinggi dibangun sejak zaman kolonial menjadi bagian garis imajiner keraton yogyakarta gunung merapi pantai selatan
Bayu Prasetyo,"Tempat yang nyaman untuk nongkrong bersama teman maupun pasangan
Apalagi di seberangnya ada warung akringan yang terkenal dengan kopi joss nya serta harganya yang sangat terjangkau
Dan didepannya juga ada pusat oleh oleh khususnya bakpia kukus tugu jogja yang pasti tidak kalah untuk dikunjungi",Diedit 3 tahun lalu,Google Maps (Tugu Jogja),tempat nyaman nongkrong bersama teman maupun pasangan apalagi seberangnya warung akringan terkenal kopi joss serta harganya terjangkau didepannya pusat oleh oleh khususnya bakpia kukus tugu jogja pasti kalah dikunjungi
Ahmad Yusuf,"Menarik namun jalan nya padat, sebab saking banyaknya yang ingin ke sana",3 minggu lalu,Google Maps (Tugu Jogja),menarik namun jalan padat sebab saking banyaknya ingin sana
Evafitriani Fitriani,"Sangat mudah di tempuh dengan mode trans Jogja, walau agak lumayan dr penginapan tp senang",4 bulan lalu,Google Maps (Tugu Jogja),mudah tempuh mode trans jogja walau agak lumayan penginapan senang
Rakhaputrawidayanta widayanta,"Peternak merpati pos yg recomended untuk mencari bibit merpati unggul,
Indukannya bagus2",setahun lalu,Google Maps (Tugu Jogja),peternak merpati pos recomended mencari bibit merpati unggul indukannya bagus
Dharmawan Sumiran,"Tugu legendaris yang jadi ikon Yogya, belum  komplit ke Yogya kalau foto disini.
Tugu Yogya dibangun pada masa pemerintahan Hamengku Buwana I pada tahun 1757 dengan bentuk awal silinder dengan puncaknya berbentuk bola. Tingginya 25 meter.  Melambangkan golong gilig yang maknanya persatuan raja dan rakyat dalam melawan penjajahan.
Pada tahun 1867 terjadi gempa yang mengakibatkan kerusakan dan akhirnya direnovasi menjadi bentuk yang sekarang.
Namun sekarang sudah ada miniatur di salah satu sisinya yang menggambarkan bentuk lamanya.",setahun lalu,Google Maps (Tugu Jogja),tugu legendaris ikon yogya belum komplit yogya foto disini tugu yogya dibangun masa pemerintahan hamengku buwana tahun bentuk awal silinder puncaknya berbentuk bola tingginya meter melambangkan golong gilig maknanya persatuan raja rakyat melawan penjajahan tahun terjadi gempa mengakibatkan kerusakan akhirnya direnovasi menjadi bentuk sekarang namun sekarang miniatur salah satu sisinya menggambarkan bentuk lamanya
Yulia wahyu Ningrum,tugu selalu jadi moment epic yang takkan terlupakan.best moment at jogjakarta,8 bulan lalu,Google Maps (Tugu Jogja),tugu selalu moment epic takkan terlupakan best moment jogjakarta
Agnes Craig,"Ke tugu jogja pertama kali, sebenernya ya tugu biasa aja tapi iconic aja. Sekitaran sana banyak angkringan dan cafe yang view nya cakep buat liat tugu cantik ini di malam hari. Tapi kalau mau foto foto harus sigap kamera, karena itukan tengah trngah lalu lintas yang padet. Jadi pasti aja ada background nya belakangnya mobil",2 tahun lalu,Google Maps (Tugu Jogja),tugu jogja pertama kali sebenernya tugu biasa iconic sekitaran sana angkringan cafe view cakep liat tugu cantik malam hari mau foto foto harus sigap kamera itukan tengah trngah lalu lintas padet pasti background belakangnya mobil
Ria Lestariani,"Icon kota jogja yg selalu ramai dilintasi pengendara, harus nunggu tengah malam baru bisa foto disini, ada beberapa cafe sekitar tugu kalau mau menikmati suasana malam dgn view tugu jogja",3 tahun lalu,Google Maps (Tugu Jogja),icon kota jogja selalu ramai dilintasi pengendara harus nunggu tengah malam baru foto disini beberapa cafe sekitar tugu mau menikmati suasana malam dgn view tugu jogja
Aisah “Aiss”,"Suasana yogya yang selalu dirindukan.. setiap sudutnya memikat hati.. tugu yogya salah satu tempat yang dilalui kendaraan, dan juga pejalan kaki untuk berfoto. Semakin malam semakin ramai.",2 tahun lalu,Google Maps (Tugu Jogja),suasana yogya selalu dirindukan setiap sudutnya memikat hati tugu yogya salah satu tempat dilalui kendaraan pejalan kaki berfoto semakin malam semakin ramai
Haris Muliyawan,"Assalamu'alaikum
Hari ini kesini tanggal 23 Agustus 2022
Akhirnya setelah 10 tahun lamanya kembali kesini dengan anak istri... …",3 tahun lalu,Google Maps (Tugu Jogja),assalamu alaikum hari kesini tanggal agustus akhirnya setelah tahun lamanya kembali kesini anak istri
Ridwan Yogi,Tugu Yogyakarta merupakan symbolik kota Yogyakarta. Sebagai ciri khas kota Yogyakarta bangunan ini mempunyai sejarah yang panjang dan menarik.  Tugu ini merupakan sebuah bangunan monumen bersejarah yang terletak  tepat di tengah perempatan …,6 tahun lalu,Google Maps (Tugu Jogja),tugu yogyakarta merupakan symbolik kota yogyakarta sebagai ciri khas kota yogyakarta bangunan mempunyai sejarah panjang menarik tugu merupakan sebuah bangunan monumen bersejarah terletak tepat tengah perempatan
Muhammad Roziqin,"Tempat yang cukup cocok untuk menikmati malam hari atau sore menjelang malam, penerangan cukup baik dan ramah buat pejalan kaki, akses mudah untuk ke malioboro, banyak kedai buat menemani sore",5 bulan lalu,Google Maps (Tugu Jogja),tempat cukup cocok menikmati malam hari sore menjelang malam penerangan cukup baik ramah pejalan kaki akses mudah malioboro kedai menemani sore
Endra Wijaya,"Iconnya Kota Jogjakarta, Tugu Jogja gak afdol kalau ke Jogja belum foto di tugu ini, Jogja kota parkir sejengkal tanah disini diparkir semua haha.. bayar parkir 3 ribu saja untuk motor, malam pun ramai ternyata.",setahun lalu,Google Maps (Tugu Jogja),iconnya kota jogjakarta tugu jogja afdol jogja belum foto tugu jogja kota parkir sejengkal tanah disini diparkir semua haha bayar parkir ribu motor malam pun ramai ternyata
Roy Oktavianus RL,Sudah berkali2 berkunjung ke tempat ini. Namun setiap jogja wajib selalu kesini 😍😍 …,9 bulan lalu,Google Maps (Tugu Jogja),berkali berkunjung tempat namun setiap jogja wajib selalu kesini
Wijayanto Soeyadi,"Tugu yg fenomenal, yg menjadi obyek foto bagi wisatawan. Masih terus dalam penataan.",sebulan lalu,Google Maps (Tugu Jogja),tugu fenomenal menjadi obyek foto wisatawan masih penataan
Mox Channel,"Belum lengkap datang ke Jogja kalau belum ke Tugu Pal Putih, salah satu landmark untuk spot foto, di sekitar Tugu terdapat tempat parkir motor, banyak tempat makan seperti angkringan, semakin malam semakin asyik.....",Diedit 6 tahun lalu,Google Maps (Tugu Jogja),belum lengkap datang jogja belum tugu pal putih salah satu landmark spot foto sekitar tugu terdapat tempat parkir motor tempat makan angkringan semakin malam semakin asyik
